ID,candidate_ID,channel,destination,otpHash,status,attemptCount,expiresAt,verifiedAt
OTP011A,100011,EMAIL,arjun.kapoor11@gmail.com,ab345fgh5678,EXPIRED,0,2026-05-14T22:05:00Z,
OTP011B,100011,EMAIL,arjun.kapoor11@gmail.com,xy567klm8910,VERIFIED,0,2026-05-14T22:10:00Z,2026-05-14T22:06:00Z
OTP012A,100012,EMAIL,neha.agarwal12@gmail.com,cd678ijk1234,EXPIRED,1,2026-05-14T22:15:00Z,
OTP012B,100012,EMAIL,neha.agarwal12@gmail.com,pq234rst5678,VERIFIED,0,2026-05-14T22:20:00Z,2026-05-14T22:17:00Z
OTP013A,100013,EMAIL,rakesh.yadav13@gmail.com,ef901lmn2345,GENERATED,0,2026-05-14T22:25:00Z,
OTP014A,100014,EMAIL,simran.kaur14@gmail.com,gh345opq6789,VERIFIED,0,2026-05-14T22:30:00Z,2026-05-14T22:28:00Z
OTP015A,100015,EMAIL,mohit.saxena15@gmail.com,ij567rst8901,VERIFIED,0,2026-05-14T22:35:00Z,2026-05-14T22:31:00Z
OTP016A,100016,EMAIL,kavita.naidu16@gmail.com,kl789uvw1234,EXPIRED,2,2026-05-14T22:40:00Z,
OTP016B,100016,EMAIL,kavita.naidu16@gmail.com,mn901xyz5678,VERIFIED,0,2026-05-14T22:45:00Z,2026-05-14T22:41:00Z
OTP017A,100017,EMAIL,sachin.pawar17@gmail.com,op234abc6789,VERIFIED,0,2026-05-14T22:50:00Z,2026-05-14T22:47:00Z
